age,chittr,motttr,chimlu,motmlu
2.26096,0.143861,0.229053,2.13249,4.10268
2.29932,0.140529,0.186733,2.15031,4.11356
2.34155,0.156806,0.215447,2.41183,4.74217
2.37443,0.215782,0.269727,1.82886,4.06414
2.41553,0.195897,0.24092,2.26744,4.27979
2.44954,0.159496,0.289125,2.28263,4.26792
2.50822,0.181493,0.24115,2.56243,4.04474
2.54658,0.175439,0.232014,2.91429,4.7931
2.58607,0.190349,0.231369,2.54318,4.1898
2.62169,0.168694,0.209845,2.62243,4.31767
2.66941,0.170823,0.230819,2.69128,4.03906
2.7105,0.217462,0.267606,2.44238,4.13019
2.76096,0.255598,0.249379,2.37179,3.9835
2.79932,0.229078,0.235907,2.38983,4.44687
2.83881,0.182085,0.277544,2.63613,4.18662
2.87717,0.204397,0.270053,2.55,4.10989
2.91553,0.181075,0.223672,2.98258,4.537
2.95228,0.18575,0.227891,2.48008,4.23457
2.99338,0.143942,0.200398,3.27438,4.65741
3.03014,0.152596,0.205661,3.30132,4.72025
3.06849,0.143564,0.286957,3.8314,4.75207
3.10799,0.139397,0.330623,3.75354,4.46371
3.15457,0.153511,0.225902,3.60084,4.32265
3.19132,0.211769,0.260724,3.26572,4.19393
3.2242,0.153323,0.32881,3.66795,4.37443
3.26096,0.148669,0.209061,3.63765,4.68805
3.29932,0.143335,0.230921,4.03276,4.69053
3.33607,0.160091,0.236654,3.84607,4.35731
3.38265,0.16783,0.215517,4.17489,4.85463
3.41941,0.16425,0.200714,3.77077,4.82027
3.45776,0.174771,0.204849,3.76393,4.72196
3.49612,0.168731,0.222772,3.86364,4.86214
3.52466,0.20379,0.252134,4.05329,4.44023
3.60251,0.196581,0.250284,3.96094,5.42154
3.66941,0.161575,0.215545,4.12338,4.98423
3.70502,0.196581,0.21374,3.65217,4.31369
3.7379,0.165312,0.220784,4.02368,4.76636
3.79384,0.15848,0.214924,4.20936,4.55804
3.87443,0.203175,0.228453,4.04587,5.10875
3.91941,0.167792,0.239294,4.19225,4.52096
3.95502,0.171315,0.276224,4.0813,4.44099
4.03836,0.159803,0.237226,4.4433,4.793
4.12443,0.129833,0.206522,4.50792,4.84211
4.21324,0.176433,0.224432,4.40656,5.04298
4.27466,0.166344,0.248762,4.97658,4.91081
4.33607,0.164595,0.318792,4.79275,4.38235
4.36895,0.173724,0.468553,4.44391,4.18421
4.4468,0.178463,0.319749,4.61372,4.64563
4.56575,0.153129,0.30371,4.56489,4.78926
4.58607,0.160207,0.315476,4.51232,4.8
4.66279,0.185736,0.288073,4.58392,5.09346
4.75548,0.183228,0.306348,4.72347,5.20096
4.83881,0.171049,0.381729,4.54871,5.23932
4.89635,0.151082,0.306873,4.49018,4.96635
5.19954,0.136014,0.29053,4.56616,4.77395
